,ProfileId,CarName,PriceNumeric,KmNumeric,MakeYear,Color,CityName,OwnerTypeId
91,D1471267,Toyota Corolla Altis 1.8 VL AT,575000,52000,2009,Maroon,Chennai,1
92,D1485964,Toyota Innova 2.5 V 7 STR,1225000,112000,2012,Silver,Chennai,1
93,D1437785,Toyota Camry V4 MT,325000,100000,2005,Silver,Chennai,1
94,D1457776,Toyota Innova 2.5 G4 8 STR,1050000,130000,2011,Grey,Chennai,1
95,D1468036,Toyota Innova 2.5 G4 8 STR,749000,151382,2009,Blue,Chennai,1
96,D1468051,Toyota Fortuner 3.0 4x4 AT,2200000,87315,2014,White,Chennai,1
97,D1465661,Toyota Innova 2.5 V 7 STR,975000,150000,2010,Silver,Chennai,1
98,D1437846,Toyota Qualis GS G9,275000,120000,2000,Silver,Chennai,3
99,D1486512,Toyota Innova 2.5 G4 7 STR,575000,120000,2007,Gold,Chennai,2
100,D1462812,Toyota Innova 2.5 V 8 STR,1350000,120000,2013,Grey,Chennai,1
101,D1465745,Toyota Innova 2.5 V 7 STR,1130000,120000,2011,Gold,Chennai,1
102,D1475683,Toyota Innova 2.5 G4 7 STR,925000,179000,2011,Silver,Chennai,1
103,D1449254,Toyota Fortuner 3.0 MT,1250000,250000,2011,White,Chennai,1
104,D1488456,Toyota Etios G,450000,39000,2012,Silver,Chennai,1
105,D1487891,Toyota Innova 2.5 GX 7 STR BS-III,1345000,40000,2014,Gold,Chennai,1
106,D1487926,Toyota Etios GD,590000,71500,2013,Grey,Chennai,1
107,D1476425,Toyota Fortuner 3.0 Ltd,1490000,119000,2011,Grey,Chennai,1
108,D1488370,Toyota Innova 2.5 V 7 STR,685000,220000,2008,Black,Chennai,2
109,S977658,Toyota Etios G,465000,33000,2013,Celestial Black,Chennai,1
110,S993734,Toyota Etios Liva VD Dual Tone,590000,52000,2016,Vermilion Red,Chennai,1
111,S965558,Toyota Etios GD,540000,65300,2012,Vermilion  Red,Chennai,2
112,S970561,Toyota Innova 2.5 GX BS IV 7 STR,1550000,27000,2016,Silver,Chennai,1
113,S971072,Toyota Innova 2.5 VX 8 STR BS-III,1500000,42100,2013,Silky Gold,Chennai,1
114,S999268,Toyota Innova 2.5 V 7 STR,1100000,50364,2008,Gold,Chennai,1
115,S980715,Toyota Etios Liva GD,428000,76000,2012,Ultramarine Blue,Chennai,1
116,S963334,Toyota Fortuner 3.0 4x2 MT,1800000,55000,2013,,Chennai,1
117,S982048,Toyota Fortuner 3.0 MT,950020,83000,2010,White,Chennai,3
118,S967629,Toyota Corolla Altis G Diesel,1000000,95000,2013,White,Chennai,1
119,S964287,Toyota Innova 2.5 G4 7 STR,695000,145000,2008,Beige,Chennai,2
120,S969812,Toyota Innova 2.5 G1,725000,162000,2009,,Chennai,1
121,S966899,Toyota Fortuner 3.0 4x2 AT,1800000,125000,2013,Chennai,Chennai,1
122,S969905,Toyota Innova 2.5 G1,725000,163393,2009,,Chennai,1
123,S985260,Toyota Qualis FS B3,425000,220000,2000,Red,Chennai,2
124,D1482592,Toyota Corolla Altis 1.8 J,775000,33839,2013,Silver,Chennai,1
125,D1482629,Toyota Etios Liva GD,435000,78526,2012,Beize,Chennai,2
126,D1482585,Toyota Fortuner 3.0 4x4 MT,2500000,32596,2015,Grey,Chennai,1
127,D1482614,Toyota Innova 2.5 G 8 STR BS-III,600000,140090,2005,Blue,Chennai,1
128,D1473869,Toyota Innova 2.5 VX 7 STR BS-IV,1400000,112320,2013,Grey,Chennai,1
129,D1488950,Toyota Corolla AE,350000,78000,2007,Silver,Chennai,1
130,D1485022,Toyota Innova 2.5 GX 7 STR BS-III,1325000,52000,2014,Maroon,Chennai,1
131,D1472413,Toyota Etios Liva GD,515000,38000,2013,Blue,Chennai,1
132,D1472420,Toyota Fortuner 3.0 4x4 MT,2400000,31000,2014,White,Chennai,1
133,D1479142,Toyota Corolla Altis 1.8 GL,500000,90298,2010,Silver,Chennai,1
134,D1475141,Toyota Etios G,375000,64000,2011,Silver,Chennai,1
135,S958055,Toyota Etios G,400000,17000,2011,,Chennai,1
136,S982455,Toyota Etios Liva G,550000,15204,2013,Symphony Silver,Chennai,2
137,S982037,Toyota Etios VD,600000,53000,2012,Vermilion Red,Chennai,2
138,S985523,Toyota Etios VD,550000,53000,2012,Vermilion Red,Chennai,1
139,S998081,Toyota Etios Liva VD Dual Tone,590000,53000,2016,Vermilion Red,Chennai,1
140,S998475,Toyota Innova 2.5 VX BS IV 8 STR,1600000,25600,2015,Silky Gold Mica Metallic,Chennai,1
141,S990189,Toyota Innova 2.5 ZX BS IV 7 STR,1800000,30000,2016,Grey Mica Metallic,Chennai,1
142,S996835,Toyota Innova 2.5 G 8 STR BS-III,1300000,43000,2014,Silky Gold Mica Metallic,Chennai,1
143,S983423,Toyota Etios Liva GD,398000,76500,2012,Ultramarine Blue,Chennai,1
144,S997750,Toyota Innova 2.5 VX 8 STR BS-IV,1200000,61000,2012,Sand Gold,Chennai,2
145,S996793,Toyota Innova 2.5 GX 8 STR BS-III LTD,1125000,64000,2014,Black,Chennai,1
146,S964792,Toyota Innova 2.0 G1 BS-IV,700000,80000,2012,,Chennai,2
147,S990762,Toyota Corolla Levin Fz,240000,94000,2007,White,Chennai,2
148,S958751,Toyota Etios Liva GD,400000,88000,2013,,Chennai,1
149,S958631,Toyota Innova 2.5 GX 7 STR BS-IV,800000,80000,2011,,Chennai,1
