Seller,PriceNumeric,KmNumeric,MakeYear,RootName,Color,Fuel,GearBox,CityName,OwnerTypeId,BodyStyleId,enc_seller,enc_gearBox,enc_fuel,enc_color_silver,enc_color_white,enc_color_grey,enc_color_gold,enc_color_black,enc_color_blue,enc_color_other,enc_city_new_delhi,enc_city_mumbai,enc_city_bangalore,enc_city_hyderabad,enc_city_chennai,enc_city_thane,enc_city_other,enc_name_innova,enc_name_fortuner,enc_name_corolla_altis,enc_name_etios,label
Individual,865000,128000,2012,Innova,,Diesel,Manual,Sonbhadra,1,6,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,7
Individual,1300000,82000,2013,Innova,Silky Gold Mica Metallic,Diesel,Manual,Belgaum,1,6,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,7
Individual,1800000,64000,2014,Fortuner,White Pearl Mic,Diesel,Manual,Darbhanga,1,6,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,10
Individual,399000,152000,2009,Innova,White,Diesel,Manual,Bulandshahar,3,6,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,21
Individual,810000,20000,2016,Etios,Pearl White With Crystal Shine,Diesel,Manual,Kancheepuram,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,24
Individual,1500000,25000,2016,Innova,Silky Gold Mica Metallic,Diesel,Manual,Mangalagiri,1,6,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,20
Individual,1400000,70000,2016,Innova,Super White,Diesel,Manual,Gudivada,1,6,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,20
Individual,335000,44000,2013,Etios Liva,,Diesel,Manual,Kashipur,1,3,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3
Individual,500000,33000,2014,Etios,,Diesel,Manual,Manali,1,3,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3
Individual,210000,760000,2010,Corolla Altis,Wethe,Petrol,Manual,Faridkot,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,14
Individual,600000,281000,2006,Innova,Silver Metallic,Petrol,Manual,Morbi,1,6,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,4
Individual,999000,62000,2013,Innova,Silky Gold Mica Metallic,Diesel,Manual,Fatehabad,1,6,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,7
Individual,475000,110000,2013,Etios Liva,White,Diesel,Manual,Tuticorin,1,3,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,27
Individual,410000,120000,2008,Camry,Black,Petrol,Manual,Kangra,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,22
Individual,450000,61500,2005,Innova,Silver,Diesel,Manual,Hardoi,1,6,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4
Individual,1725000,55000,2016,Innova,Silver Mica Metallic,Diesel,Manual,Tumkur,2,6,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,20
Individual,910000,190000,2010,Innova,Gray,Diesel,Manual,Rajsamand,2,6,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,21
Individual,650000,120000,2013,Etios,Classic Grey,Diesel,Manual,Panruti,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,24
Individual,550000,268000,2006,Innova,Super White Ii,Diesel,Manual,Dausa,2,6,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,4
Individual,390000,400000,2006,Innova,Super White Ii,Diesel,Manual,Chhatarpur,2,6,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,4
Individual,1050000,55000,2011,Innova,Gray,Diesel,Manual,Kalyan,1,6,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,7
Individual,700000,190000,2010,Innova,Silver Mica,Diesel,Manual,Unnao,1,6,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,7
Individual,390000,127000,2000,Qualis,,Diesel,Manual,Srivilliputtur,3,6,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,19
Individual,270000,130000,2009,Corolla Altis,,Petrol,Automatic,Baramulla,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,14
Dealer,375000,72717,2006,Camry,Beize,Petrol,Automatic,Mumbai,2,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,15
Dealer,325000,44000,2011,Etios,Beize,Petrol,Manual,Mumbai,3,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,12
Dealer,385000,45000,2008,Corolla Altis,Beige,Petrol,Automatic,Mumbai,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,14
Dealer,2250000,23000,2016,Innova,Beige,Diesel,Automatic,Mumbai,1,6,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,20
Dealer,450000,108000,2011,Corolla Altis,Beige,Petrol,Manual,Mumbai,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,14
Dealer,699000,93000,2012,Corolla Altis,Beize,Diesel,Manual,Mumbai,1,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,14
Individual,300000,258000,2004,Qualis,Beige,Diesel,Manual,Mumbai,1,6,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,19
Dealer,185000,73000,2006,Corolla,Beize,Petrol,Manual,Mumbai,2,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,15
Dealer,6000000,49000,2009,Land Cruiser,Black,Diesel,Automatic,Mumbai,2,6,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
Dealer,1099000,78209,2009,Fortuner,Black,Diesel,Manual,Mumbai,2,6,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,29
Dealer,349000,41107,2011,Etios,Black,Petrol,Manual,Mumbai,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,26
Dealer,2100000,55000,2014,Fortuner,Black,Diesel,Automatic,Mumbai,1,6,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,16
Dealer,335000,30826,2011,Etios,Black,Petrol,Manual,Mumbai,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,26
Dealer,199002,83004,2006,Camry,Black,Petrol,Automatic,Mumbai,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,22
Dealer,199000,139000,2006,Corolla,Black,Petrol,Automatic,Mumbai,2,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,15
Dealer,1150000,123000,2010,Fortuner,Black,Diesel,Manual,Mumbai,1,6,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,29
Dealer,469999,149753,2008,Innova,Black,Diesel,Manual,Mumbai,1,6,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,4
Dealer,390000,80100,2006,Innova,Black,Diesel,Manual,Mumbai,2,6,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Dealer,1485000,94000,2012,Fortuner,Black,Diesel,Automatic,Mumbai,1,6,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,29
Dealer,475001,149000,2008,Innova,Black,Diesel,Manual,Mumbai,1,6,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,4
