,ProfileId,Seller,PriceNumeric,KmNumeric,MakeYear,RootName,Color,Fuel,GearBox,CityName,OwnerTypeId,BodyStyleId
190,S996475,Individual,650000,120000,2005,Innova,Silver Metallic,Diesel,Manual,Chennai,2,6
191,S990178,Individual,675000,125000,2007,Innova,Champagne Mica Metallic,Diesel,Manual,Chennai,2,6
192,D1449047,Dealer,600000,51000,2014,Etios,Grey,Diesel,Manual,Pune,1,1
193,D1471438,Dealer,350000,70346,2011,Etios,Silver,Petrol,Manual,Pune,1,1
195,D1436437,Dealer,350000,75000,2007,Corolla,White,Petrol,Manual,Pune,1,1
197,D1487998,Dealer,490000,8000,2014,Etios,Grey,Petrol,Manual,Pune,1,1
198,D1471427,Dealer,1150000,106957,2014,Innova,White,Diesel,Manual,Pune,1,6
199,D1471439,Dealer,1000000,135296,2012,Innova,Silver,Diesel,Manual,Pune,2,6
200,D1488331,Dealer,1325000,23330,2014,Innova,Gold,Diesel,Manual,Pune,1,6
201,D1476333,Dealer,490000,68130,2009,Corolla Altis,Silver,Petrol,Manual,Pune,1,1
202,D1476331,Dealer,760000,69986,2009,Innova,Silver,Diesel,Manual,Pune,1,6
203,D1484701,Dealer,225000,90000,2006,Corolla,Black,Petrol,Manual,Pune,1,1
204,D1479811,Dealer,699000,117000,2010,Innova,Gold,Diesel,Manual,Pune,1,6
205,D1465257,Dealer,700000,170000,2008,Innova,Red,Diesel,Manual,Pune,1,6
206,D1385764,Dealer,4000000,110000,2010,Prado,White,Diesel,Automatic,Pune,2,6
207,D1432197,Dealer,1345000,54000,2013,Innova,Grey,Diesel,Manual,Pune,1,6
208,D1467769,Dealer,345000,36500,2011,Etios,Silver,Petrol,Manual,Pune,1,1
209,D1483665,Dealer,1500000,66000,2014,Innova,Silver,Diesel,Manual,Pune,1,6
210,D1469662,Dealer,1225000,84968,2013,Innova,Silver,Diesel,Manual,Pune,1,6
211,D1487261,Dealer,1200000,89807,2013,Innova,Grey,Diesel,Manual,Pune,2,6
212,D1461890,Dealer,875000,122124,2011,Innova,Silver,Diesel,Manual,Pune,1,6
213,D1487189,Dealer,1425000,124047,2011,Fortuner,Silver,Diesel,Manual,Pune,1,6
214,D1385252,Dealer,201000,94000,2003,Corolla,Silver,Petrol,Automatic,Pune,1,1
215,D1487178,Dealer,1725000,105967,2012,Fortuner,White,Diesel,Manual,Pune,1,6
221,D1469493,Dealer,375000,71000,2008,Corolla Altis,Silver,Petrol,Manual,Pune,2,1
222,D1482369,Dealer,750000,109000,2010,Innova,Grey,Diesel,Manual,Pune,2,6
223,D1439819,Dealer,360000,37147,2011,Etios,White,Petrol,Manual,Pune,1,1
224,D1365774,Dealer,400000,70000,2011,Etios,Beige,Petrol,Manual,Pune,1,1
225,D1468138,Dealer,1375000,77000,2013,Innova,White,Diesel,Manual,Pune,1,6
226,D1445969,Dealer,500000,90000,2008,Corolla Altis,Brown,Petrol,Manual,Pune,1,1
227,D1423907,Dealer,1125000,88000,2013,Innova,Silver,Diesel,Manual,Pune,1,6
228,D1476656,Dealer,800000,109022,2010,Innova,Silver,Petrol,Manual,Pune,1,6
229,D1395788,Dealer,1075000,126000,2012,Innova,Grey,Diesel,Manual,Pune,1,6
230,D1342814,Dealer,1450000,128000,2001,Land Cruiser,White,Diesel,Automatic,Pune,2,6
231,D1459026,Dealer,925000,140000,2011,Innova,Silver,Diesel,Manual,Pune,3,6
232,D1433634,Dealer,371000,88000,2009,Corolla Altis,Grey,CNG,Manual,Pune,2,1
233,D1453826,Dealer,380000,91453,2010,Etios,Gold,Petrol,Manual,Pune,1,1
234,D1467821,Dealer,480000,62500,2013,Etios Liva,Red,Diesel,Manual,Pune,1,3
235,D1430642,Dealer,1500000,81497,2015,Innova,White,Diesel,Manual,Pune,1,6
236,D1475092,Dealer,440000,79481,2011,Etios,Silver,Diesel,Manual,Pune,2,1
237,D1487667,Dealer,1475000,60000,2015,Innova,Silver,Diesel,Manual,Pune,1,6
238,D1471202,Dealer,600000,125000,2011,Corolla Altis,Gold,Diesel,Manual,Pune,1,1
239,D1465809,Dealer,599000,37174,2015,Etios,Black,Petrol,Manual,Pune,1,3
244,D1435027,Dealer,349000,42673,2011,Etios,Blue,Petrol,Manual,Pune,1,1
245,D1483389,Dealer,2000000,34252,2016,Innova,Silver,Diesel,Manual,Pune,1,6
246,D1477474,Dealer,580000,108833,2012,Corolla Altis,White,Diesel,Manual,Pune,2,1
247,D1485507,Dealer,790000,104325,2009,Innova,Grey,Diesel,Manual,Pune,1,6
248,D1484691,Dealer,325000,140000,2008,Corolla Altis,Blue,Petrol,Manual,Pune,2,1
249,D1484713,Dealer,370000,169328,2007,Innova,Gold,Petrol,Manual,Pune,3,6
250,D1453021,Dealer,555000,167483,2007,Innova,Black,Diesel,Manual,Pune,2,6
251,D1471893,Dealer,380000,45000,2011,Etios,White,Petrol,Manual,Pune,1,1
252,D1476816,Dealer,335000,44000,2012,Etios Liva,Blue,Petrol,Manual,Pune,1,3
253,D1268221,Dealer,600000,35295,2015,Etios,Black,Petrol,Manual,Pune,1,3
254,D1484728,Dealer,351000,62000,2008,Corolla Altis,White,Petrol,Manual,Pune,1,1
255,D1378587,Dealer,415000,53492,2012,Etios,Silver,Petrol,Manual,Pune,1,1
256,D1482691,Dealer,1425000,55990,2015,Innova,Grey,Diesel,Manual,Pune,2,6
257,D1460915,Dealer,2150000,29000,2016,Innova,Silver,Diesel,Automatic,Pune,1,6
258,D1393307,Dealer,799000,50000,2012,Corolla Altis,White,Petrol,Automatic,Pune,1,1
259,D1431039,Dealer,625000,105000,2011,Corolla Altis,White,Diesel,Manual,Pune,1,1
260,D1474701,Dealer,650000,57924,2007,Innova,Silver,Diesel,Manual,Pune,1,6
261,D1458741,Dealer,750000,88904,2010,Innova,Silver,Diesel,Manual,Pune,1,6
262,D1464954,Dealer,2700000,20000,2016,Fortuner,White,Diesel,Automatic,Pune,2,6
263,D1413490,Dealer,470000,123236,2012,Etios,Gold,Diesel,Manual,Pune,1,1
268,D1459231,Dealer,1090000,111134,2013,Innova,Grey,Diesel,Manual,Pune,1,6
269,D1488135,Dealer,1250000,107050,2010,Fortuner,Black,Diesel,Manual,Pune,1,6
270,D1395618,Dealer,700000,127589,2012,Corolla Altis,Silver,Diesel,Manual,Pune,1,1
271,D1421522,Dealer,1450000,133064,2012,Fortuner,Black,Diesel,Manual,Pune,1,6
272,D1443303,Dealer,950000,135000,2012,Innova,Silver,Diesel,Manual,Pune,1,6
273,D1461878,Dealer,525000,115000,2006,Innova,White,Petrol,Manual,Pune,1,6
274,D1472367,Dealer,1250000,162199,2011,Fortuner,Black,Diesel,Manual,Pune,1,6
275,D1154445,Dealer,325000,110000,2005,Corolla,Maroon,Petrol,Automatic,Pune,2,1
276,D1487440,Dealer,975000,430000,2011,Innova,Silver,Diesel,Manual,Pune,1,6
277,D1426371,Dealer,770000,58000,2010,Innova,Gold,Diesel,Manual,Pune,1,6
278,D1365816,Dealer,550000,27000,2014,Etios,Orange,Petrol,Manual,Pune,1,3
279,D1356107,Dealer,385000,51000,2011,Etios,Blue,Petrol,Manual,Pune,1,1
280,D1483379,Dealer,460000,51000,2014,Etios,Silver,Petrol,Manual,Pune,1,1
281,D1472020,Dealer,155000,97000,2003,Corolla,White,Petrol,Manual,Pune,2,1
282,D1484363,Dealer,250000,112000,2006,Corolla,White,Petrol,Manual,Pune,1,1
283,D1386101,Dealer,540000,81000,2012,Etios,White,Diesel,Manual,Pune,1,1
284,D1466103,Dealer,800000,90000,2009,Innova,Silver,Diesel,Manual,Pune,1,6
285,D1466763,Dealer,1150000,85000,2012,Innova,Silver,Diesel,Manual,Pune,1,6
286,D1342801,Dealer,800000,111000,2010,Innova,White,Diesel,Manual,Pune,1,6
287,D1486484,Dealer,1225000,103000,2013,Innova,Grey,Diesel,Manual,Pune,1,6
292,D1444895,Dealer,1300001,95000,2010,Fortuner,Blue,Diesel,Manual,Pune,1,6
293,D1483814,Dealer,550000,80000,2010,Corolla Altis,Silver,Diesel,Manual,Pune,1,1
294,D1454972,Dealer,750000,135000,2010,Innova,Gold,Diesel,Manual,Pune,2,6
295,D1462831,Dealer,475000,140000,2006,Innova,Silver,Diesel,Manual,Pune,2,6
296,D1488038,Dealer,875000,135000,2011,Innova,Blue,Diesel,Manual,Pune,1,6
297,D1471414,Dealer,1275000,150000,2009,Fortuner,White,Diesel,Manual,Pune,1,6
298,D1362331,Dealer,850000,180000,2012,Innova,White,Diesel,Manual,Pune,1,6
299,D1468602,Dealer,1150000,160000,2013,Innova,Silver,Petrol,Manual,Pune,1,6
300,D1404943,Dealer,1200000,177816,2009,Fortuner,White,Diesel,Manual,Pune,2,6
301,D1465573,Dealer,750000,194000,2009,Innova,Silver,Diesel,Manual,Pune,2,6
302,D1456908,Dealer,950000,280000,2012,Innova,Beige,Diesel,Manual,Pune,1,6
303,D1321112,Dealer,7900000,145000,2013,Land Cruiser,White,Diesel,Automatic,Pune,1,6
304,D1472701,Dealer,1050000,154000,2012,Innova,Grey,Diesel,Manual,Pune,1,6
305,S958897,Individual,1050000,42500,2011,Innova,,Diesel,Manual,Pune,2,6
306,S971554,Individual,500000,63000,2013,Etios Liva,Gray,Diesel,Manual,Pune,2,3
307,S959398,Individual,775000,6500,2017,Etios,Silver,Diesel,Manual,Pune,1,3
308,S973937,Individual,340000,45000,2012,Etios,Vermillion Red,Petrol,Manual,Pune,1,1
309,S962653,Individual,780000,35000,2016,Etios,,Diesel,Manual,Pune,1,1
310,S976653,Individual,790000,59000,2012,Corolla Altis,White Pearl Mica,Diesel,Manual,Pune,1,1
311,S978516,Individual,1400000,41000,2015,Innova,Grey Mica Metallic,Diesel,Manual,Pune,1,6
316,S964722,Individual,430000,89000,2012,Etios,,Diesel,Manual,Pune,2,1
317,S993046,Individual,520000,89379,2005,Camry,White,Petrol,Automatic,Pune,1,1
318,S966864,Individual,1400000,100000,2014,Innova,,Diesel,Manual,Pune,1,6
319,S961656,Individual,600000,150000,2014,Etios,,Diesel,Manual,Pune,1,1
320,S976716,Individual,900000,139000,2010,Innova,Grey,Diesel,Manual,Pune,1,6
321,S975218,Individual,550000,150000,2013,Etios,Classic Grey,Diesel,Manual,Pune,1,1
322,S975920,Individual,515000,170002,2006,Innova,Silver Mica,Diesel,Manual,Pune,1,6
323,S964122,Individual,889000,177000,2013,Innova,White,Diesel,Manual,Pune,2,6
324,S976602,Individual,650000,210000,2011,Innova,White,Diesel,Manual,Pune,1,6
325,D1375127,Dealer,350000,35000,2011,Etios,White,Petrol,Manual,Pune,1,1
326,D1482929,Dealer,1250000,98000,2013,Innova,Silver,Petrol,Manual,Pune,1,6
327,D1384684,Dealer,1890000,65000,2013,Fortuner,Black,Diesel,Manual,Pune,1,6
328,S987795,Individual,348000,19500,2014,Etios,Classic Grey,Petrol,Manual,Pune,1,1
329,S985328,Individual,600000,50100,2013,Etios,Symphony Silver,Diesel,Manual,Pune,1,1
330,S977217,Individual,480000,50000,2012,Etios Liva,White,Diesel,Manual,Pune,1,3
331,S977872,Individual,1250000,34500,2014,Innova,White,Diesel,Manual,Pune,1,6
332,S977871,Individual,1250000,34700,2014,Innova,White,Petrol,Manual,Pune,1,6
333,S980038,Individual,530000,60000,2012,Etios,White,Diesel,Manual,Pune,1,1
334,S999452,Individual,789000,58000,2013,Corolla Altis,Super White Ll,Petrol,Automatic,Pune,1,1
335,S992189,Individual,950000,45000,2013,Innova,Grey Mica Metallic,Diesel,Manual,Pune,1,6
337,S990961,Individual,1325000,37000,2014,Innova,Silky Gold Mica Metallic,Diesel,Manual,Pune,1,6
338,S973590,Individual,1100000,51000,2015,Innova,Golden Beige,Diesel,Manual,Pune,1,6
339,S997880,Individual,155000,77600,2003,Corolla,Silver,Petrol,Automatic,Pune,2,2
340,S976183,Individual,250000,87000,2006,Corolla,White,Petrol,Automatic,Pune,2,2
341,S966156,Individual,222222,87000,2005,Corolla,,Petrol,Automatic,Pune,3,2
342,S976148,Individual,370000,78000,2011,Etios,Symphony Silver,Diesel,Manual,Pune,2,1
343,S979631,Individual,500000,86000,2015,Etios,White,Diesel,Manual,Pune,1,1
